source_scope	template_scope	portability_change
Scripts/Environment	assets/project-template/Scripts/Environment	Environment roots discovered from user/site configuration
Environment bootstrap	assets/project-template/environment-specs	Missing profiles are created in isolated prefixes from versioned specs
Scripts/Common	assets/project-template/Scripts/Common	Built-in task adapters enforce run-scoped outputs, stage environments, signatures, and completion evidence
Scripts/Scanpy	assets/project-template/Scripts/Scanpy	Sample manifest and annotation-signature guard replace project labels
Scripts/Methscan	assets/project-template/Scripts/Methscan	Samples, paths, thresholds, executables, and resources are injected
Scripts/Methylvi/allcools	assets/project-template/Scripts/Methylvi/allcools	Genome, inputs, outputs, environments, and cell count are injected
Scripts/Methylvi/vmr	assets/project-template/Scripts/Methylvi/vmr	VMR source, run signature, genome resources, and targets are injected
Scripts/Methylvi/vmr_dmr	assets/project-template/Scripts/Methylvi/vmr_dmr	Pooled DMR source and baseline VMR inputs are injected
Scripts/Methylvi/shared	assets/project-template/Scripts/Methylvi/shared	Shared environment variables use the neutral SCMO namespace
Scripts/Methylvi/{allcools,vmr}/slurm	assets/project-template/Scripts/Methylvi/*/slurm	Standalone stage wrappers resolve resources from named scheduler profiles; no site directive or absolute path
(no source counterpart)	assets/project-template/Scripts/Common/scheduler_flags.sh	New: prints the sbatch resource flags for one named scheduler profile, so a wrapper and the DAG request identical allocations from the same source
(no source counterpart)	assets/project-template/Scripts/Common/submit_helpers.sh	New: the single scmo_submit helper that every standalone submit_*.sh uses to build its sbatch command line
Scripts/Methylvi/{allcools,vmr}/run.sh	assets/project-template/Scripts/Methylvi/{allcools,vmr}/run.sh	Route runners acknowledge a non-DAG run explicitly and locate the project root from their own path instead of requiring a site absolute path
Scripts/Methylvi/vmr_dmr (no config in source)	assets/project-template/Scripts/Methylvi/vmr_dmr/00_vmr_dmr_config.sh	Route layout and defaults declared once; model ladder validated against configured lists instead of a hardcoded case
Scripts/Scanpy/Notebooks/E_CYL_ZCP_scanpy.ipynb	assets/project-template/Scripts/Scanpy/Notebooks/example_ipf_scanpy.ipynb	Outputs stripped, paths and kernelspec washed, sample labels and reviewed mapping kept as a labelled example
Project parameters (roots, samples, thresholds, genome, counts)	assets/project-template/config/examples	Real study values kept as an example intake and manifest; never read by a generated project
Module README and Report files	assets/project-template/Scripts/{Scanpy,Methscan,Methylvi,Environment}	Full bilingual port with site paths abstracted and concrete evidence shown as labelled placeholders
(no source counterpart)	tools/_common.py run log + root README/Report	New: the root README is rendered once from the intake and resolved configuration, and the root Report accumulates one concise record per run in a tool-owned SCMO-RUNLOG region that inspect_run.py refreshes and update_report.py rebuilds
(source reviewed cluster mapping kept as notebook literals)	tools/record_annotation_review.py	New: turns one run's published clusters into a reviewer worksheet and records the reviewed result as the guarded annotation profile, binding that run's analysis signature and exact cluster set; the source project carried its reviewed mapping inside the notebook, which cannot be checked against a later run
Data/ (hand-made symlink to another group's storage)	intake data.sources + tools/link_data.py	New: the intake declares where each input already lives and generation links it to Data/<name>, so the convention the source project arrived at by hand is produced by the generator and recorded in project.yaml, the root README, and the root Report; a url source is fetched by the tool against a declared sha256 instead of being left to the operator
Supplementary/{hg38.canonical.chrom.sizes,ENCFF356LFX_GRCh38_blacklist.bed.gz}	assets/project-template/Supplementary	New packaged defaults: public hg38 reference files every methylation project needs and none should have to hunt for. Applied only to a human project with a methylation route and an hg38 genome; a project on another genome keeps the preflight failure instead of silently inheriting wrong coordinates
Supplementary/{human_hg38_TSS.bed,human_hg38_TSS.methscan.bed}	(not ported)	Deliberately excluded: no packaged stage reads a TSS bed, so shipping 2.8 MB of it would present an unused reference as a default. references.tss_bed stays optional and unset
Supplementary/{environments.tsv,manual_celltype_annotation.tsv,prior_annotation_crosswalk.tsv}	(not ported)	Deliberately excluded: one study's site environment inventory and its reviewed cell-type labels. Shipping the first would carry another user's absolute interpreter paths; shipping either of the others would apply one study's annotation to the next project, which is the thing the annotation guard exists to prevent
